catalog_number|year_nasa|month|day|hour|minute|second|latitude|longitude|eclipse_type|magnitude_umbral|lunation_number|saros_number|delta_Ts|QSE|gamma|magnitude_penumbral|duration_penumbral|duration_parial|duration_total|year_BC|upper|lower|my_50|intensity_category|page|gif
79|-1966|9|18|8|59|1|-10|-124|N|-0.7368|-49045|25|45632|a-|-1.4224|0.2325|2.117|||Sep 18, 1967 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1966-09-18N.gif
80|-1965|2|13|8|8|41|18|73|P|0.8518|-49040|-8|45622|-t|-0.5373|1.8928|5.567|3.183||Feb 13, 1966 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1965-02-13P.gif
81|-1965|8|9|10|45|19|-20|-151|P|0.8731|-49034|-3|45611|-a|0.5294|1.9003|5.483|3.183||Aug 9, 1966 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1965-08-09P.gif
82|-1964|2|2|6|10|18|21|-78|T+|1.4746|-49028|2|45599|p-|0.2119|2.4635|5.467|3.517|1.483|Feb 2, 1965 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1964-02-02T.gif
83|-1964|7|29|3|15|13|-23|141|T-|1.4312|-49022|7|45587|pp|-0.2132|2.503|6.133|3.8|1.533|Jul 29, 1965 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1964-07-29T.gif
84|-1963|1|22|9|20|50|24|53|P|0.236|-49016|12|45576|a-|0.8943|1.1977|4.333|1.7||Jan 22, 1964 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1963-01-22P.gif
85|-1963|7|18|3|25|58|-25|137|P|0.0754|-49010|17|45564|t-|-0.9513|1.1501|4.967|1.117||Jul 18, 1964 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1963-07-18P.gif
86|-1963|12|13|1|43|39|21|-16|N|-0.2105|-49005|-16|45554|-a|-1.1247|0.7992|3.883|||Dec 13, 1964 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1963-12-13N.gif
87|-1962|6|7|7|40|4|-19|-108|N|-0.0629|-48999|-11|45542|-t|1.0474|0.9348|4.2|||Jun 7, 1963 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1962-06-07N.gif
88|-1962|12|2|9|54|58|19|-140|P|0.9638|-48993|-6|45531|-a|-0.4687|2.0328|5.75|3.35||Dec 2, 1963 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1962-12-02P.gif
89|-1961|5|28|9|31|42|-17|44|T+|1.4197|-48987|-1|45519|-p|0.2521|2.3705|5.283|3.45|1.417|May 28, 1962 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1961-05-28T.gif
90|-1961|11|21|10|58|46|16|-157|T+|1.4101|-48981|4|45507|pp|0.2154|2.5164|6.25|3.817|1.517|Nov 21, 1962 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1961-11-21T.gif
91|-1960|5|17|2|43|37|-15|146|P|0.9884|-48975|9|45496|a-|-0.4899|1.9292|5.017|3.1||May 17, 1961 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1960-05-17P.gif
92|-1960|11|9|10|13|21|13|-146|P|0.195|-48969|14|45484|t-|0.8815|1.2866|5.15|1.733||Nov 9, 1961 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1960-11-09P.gif
93|-1959|4|7|9|23|16|1|51|N|-0.6068|-48964|-19|45474|-a|1.3423|0.3967|2.9|||Apr 7, 1960 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1959-04-07N.gif
94|-1959|5|6|6|36|13|-12|-92|N|-0.4514|-48963|19|45472|a-|-1.2657|0.522|3.183|||May 6, 1960 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1959-05-06N.gif
95|-1959|9|30|1|44|26|-5|-16|N|-0.5077|-48958|-14|45463|-a|-1.2885|0.4952|3.133|||Sep 30, 1960 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1959-09-30N.gif
96|-1959|10|30|2|58|31|10|142|N|-0.927|-48957|24|45461|a-|1.5077|0.1103|1.583|||Oct 30, 1960 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1959-10-30N.gif
97|-1958|3|27|3|49|23|5|-45|P|0.6823|-48952|-9|45451|-t|0.6252|1.7395|5.617|3.017||Mar 27, 1959 BC|-1999|-1900|-2000|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1958-03-27P.gif
98|-1958|9|20|4|17|44|-9|125|P|0.8176|-48946|-4|45439|-a|-0.576|1.7842|4.933|2.9||Sep 20, 1959 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1958-09-20P.gif
99|-1957|3|16|4|35|22|8|-56|T-|1.5937|-48940|1|45427|pp|-0.1234|2.6701|6.233|3.9|1.7|Mar 16, 1958 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1957-03-16T.gif
100|-1957|9|9|8|13|35|-12|-114|T+|1.6762|-48934|6|45416|pp|0.1059|2.651|5.383|3.517|1.6|Sep 9, 1958 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1957-09-09T.gif
101|-1956|3|4|6|36|11|12|-86|P|0.2602|-48928|11|45404|t-|-0.8581|1.3071|5.017|1.95||Mar 4, 1957 BC|-1999|-1900|-2000|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1956-03-04P.gif
102|-1956|8|29|8|51|57|-15|57|P|0.2951|-48922|16|45392|h-|0.8463|1.3153|4.817|2||Aug 29, 1957 BC|-1999|-1900|-2000|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1956-08-29P.gif
103|-1955|1|23|5|7|4|24|-63|N|-0.1992|-48917|-17|45383|-a|1.1268|0.7796|3.733|||Jan 23, 1956 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1955-01-23N.gif
104|-1955|2|22|3|20|0|15|143|N|-0.9519|-48916|21|45381|a-|-1.5328|0.0425|0.95|||Feb 22, 1956 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1955-02-22N.gif
105|-1955|7|19|10|47|7|-25|-153|N|-0.5045|-48911|-12|45371|-t|-1.267|0.5715|3.717|||Jul 19, 1956 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1955-07-19N.gif
106|-1954|1|13|8|52|18|24|59|T|1.0888|-48905|-7|45359|-a|0.429|2.0525|5.1|3.183|0.717|Jan 13, 1955 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1954-01-13T.gif
107|-1954|7|8|11|9|54|-24|-160|P|0.8654|-48899|-2|45348|-t|-0.5236|1.9297|5.817|3.3||Jul 8, 1955 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1954-07-08P.gif
108|-1953|1|3|12|0|33|24|-170|T-|1.387|-48893|3|45336|p-|-0.2583|2.3808|5.433|3.467|1.383|Jan 3, 1954 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1953-01-03T.gif
109|-1953|6|28|4|23|0|-23|121|T+|1.3856|-48887|8|45324|p-|0.2538|2.399|5.717|3.617|1.433|Jun 28, 1954 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1953-06-28T.gif
110|-1953|12|23|10|1|0|22|39|Nx|-0.003|-48881|13|45313|h-|-1.0001|1.0493|4.567|||Dec 23, 1954 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1953-12-23N.gif
111|-1952|5|18|9|48|7|-16|39|Ne|-0.896|-48876|-20|45303|-a|-1.5162|0.0472|0.967|||May 18, 1953 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1952-05-18N.gif
112|-1952|6|16|4|52|31|-21|-67|P|0.0666|-48875|18|45301|a-|0.9869|1.0272|4.167|0.933||Jun 16, 1953 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1952-06-16P.gif
113|-1952|11|11|5|10|18|14|-71|N|-0.6285|-48870|-15|45291|-t|1.3259|0.4794|3.467|||Nov 11, 1953 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1952-11-11N.gif
114|-1951|5|8|3|6|11|-12|140|P|0.4176|-48864|-10|45280|-a|-0.7995|1.3638|4.55|2.217||May 8, 1952 BC|-1999|-1900|-2000|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1951-05-08P.gif
115|-1951|10|31|5|24|42|9|-75|P|0.6623|-48858|-5|45268|-t|0.6306|1.7402|5.583|2.95||Oct 31, 1952 BC|-1999|-1900|-2000|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1951-10-31P.gif
116|-1950|4|27|5|47|12|-8|-79|T-|1.7608|-48852|0|45256|pp|-0.056|2.7494|5.617|3.667|1.683|Apr 27, 1951 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1950-04-27T.gif
117|-1950|10|21|12|19|31|4|-178|T-|1.6883|-48846|5|45245|p-|-0.0873|2.7076|5.65|3.633|1.633|Oct 21, 1951 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1950-10-21T.gif
118|-1949|4|17|1|57|10|-3|160|P|0.4687|-48840|10|45233|t-|0.7453|1.5125|5.317|2.567||Apr 17, 1950 BC|-1999|-1900|-1950|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1949-04-17P.gif
119|-1949|10|10|1|44|3|-1|-18|P|0.4838|-48834|15|45221|a-|-0.7556|1.4589|4.683|2.367||Oct 10, 1950 BC|-1999|-1900|-1950|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1949-10-10P.gif
120|-1948|3|6|12|2|7|11|12|N|-0.6726|-48829|-18|45212|-t|-1.359|0.4017|3.15|||Mar 6, 1949 BC|-1999|-1900|-1950| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1948-03-06N.gif
121|-1948|4|5|3|37|38|2|136|N|-0.9667|-48828|20|45210|t-|1.5198|0.1056|1.667|||Apr 5, 1949 BC|-1999|-1900|-1950| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1948-04-05N.gif
122|-1948|8|30|7|16|55|-14|-100|N|-0.4201|-48823|-13|45200|-a|1.246|0.5632|3.267|||Aug 30, 1949 BC|-1999|-1900|-1950| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1948-08-30N.gif
123|-1948|9|29|5|34|7|-6|105|N|-0.7192|-48822|25|45198|a-|-1.4118|0.2538|2.2|||Sep 29, 1949 BC|-1999|-1900|-1950| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1948-09-29N.gif
124|-1947|2|23|3|33|11|15|-40|P|0.772|-48817|-8|45188|-t|-0.5826|1.8062|5.467|3.067||Feb 23, 1948 BC|-1999|-1900|-1950|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1947-02-23P.gif
125|-1947|8|20|6|19|46|-18|94|P|0.7902|-48811|-3|45177|-a|0.5727|1.8242|5.45|3.083||Aug 20, 1948 BC|-1999|-1900|-1950|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1947-08-20P.gif
126|-1946|2|13|2|8|34|19|161|T+|1.5452|-48805|2|45165|p-|0.1751|2.5281|5.45|3.533|1.55|Feb 13, 1947 BC|-1999|-1900|-1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1946-02-13T.gif
127|-1946|8|9|10|16|29|-21|35|T-|1.5279|-48799|7|45154|pp|-0.159|2.6051|6.183|3.85|1.633|Aug 9, 1947 BC|-1999|-1900|-1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1946-08-09T.gif
128|-1945|2|2|5|38|57|22|-72|P|0.2898|-48793|12|45142|a-|0.8659|1.2481|4.383|1.867||Feb 2, 1946 BC|-1999|-1900|-1950|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1945-02-02P.gif
129|-1945|7|29|10|15|45|-24|34|P|0.1906|-48787|17|45130|t-|-0.888|1.2673|5.15|1.733||Jul 29, 1946 BC|-1999|-1900|-1950|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1945-07-29P.gif
130|-1945|12|24|10|16|54|22|-145|N|-0.2271|-48782|-16|45121|-a|-1.1334|0.7836|3.85|||Dec 24, 1946 BC|-1999|-1900|-1950| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1945-12-24N.gif
131|-1944|6|18|2|42|46|-21|145|N|-0.1902|-48776|-11|45109|-h|1.1174|0.8054|3.933|||Jun 18, 1945 BC|-1999|-1900|-1950| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1944-06-18N.gif
132|-1944|12|13|6|9|27|21|95|P|0.9541|-48770|-6|45097|-a|-0.4736|2.0244|5.767|3.35||Dec 13, 1945 BC|-1999|-1900|-1950|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1944-12-13P.gif
133|-1943|6|7|4|52|12|-20|-68|T|1.2849|-48764|-1|45086|-p|0.3259|2.2347|5.217|3.367|1.217|Jun 7, 1944 BC|-1999|-1900|-1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1943-06-07T.gif
134|-1943|12|2|6|59|23|20|81|T+|1.4173|-48758|4|45074|pp|0.2115|2.5233|6.25|3.817|1.517|Dec 2, 1944 BC|-1999|-1900|-1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1943-12-02T.gif
135|-1942|5|28|10|5|45|-18|33|T|1.1253|-48752|9|45062|a-|-0.4149|2.0674|5.1|3.233|0.85|May 28, 1943 BC|-1999|-1900|-1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1942-05-28T.gif
136|-1942|11|21|6|22|58|17|90|P|0.2023|-48746|14|45051|h-|0.8782|1.2917|5.133|1.767||Nov 21, 1943 BC|-1999|-1900|-1950|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1942-11-21P.gif
137|-1941|4|18|4|25|15|-3|-58|N|-0.7488|-48741|-19|45041|-h|1.4191|0.2567|2.367|||Apr 18, 1942 BC|-1999|-1900|-1950| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1941-04-18N.gif
138|-1941|5|18|1|44|16|-16|159|N|-0.3227|-48740|19|45039|h-|-1.1948|0.6538|3.533|||May 18, 1942 BC|-1999|-1900|-1950| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1941-05-18N.gif
139|-1941|10|11|10|16|40|0|-147|N|-0.516|-48735|-14|45029|-a|-1.2932|0.4862|3.083|||Oct 11, 1942 BC|-1999|-1900|-1950| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1941-10-11N.gif
140|-1941|11|10|11|29|55|14|12|N|-0.9162|-48734|24|45027|a-|1.5025|0.1185|1.633|||Nov 10, 1942 BC|-1999|-1900|-1950| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1941-11-10N.gif
141|-1940|4|6|10|28|13|1|-148|P|0.54|-48729|-9|45018|-t|0.7028|1.5973|5.483|2.75||Apr 6, 1941 BC|-1999|-1900|-1950|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1940-04-06P.gif
142|-1940|9|30|12|54|52|-4|-6|P|0.7929|-48723|-4|45006|-a|-0.589|1.7613|4.917|2.867||Sep 30, 1941 BC|-1999|-1900|-1950|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1940-09-30P.gif
143|-1939|3|26|11|10|33|4|-157|T-|1.7314|-48717|1|44995|pp|-0.0493|2.8043|6.233|3.917|1.75|Mar 26, 1940 BC|-1999|-1900|-1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1939-03-26T.gif
144|-1939|9|20|4|38|42|-8|118|T+|1.7092|-48711|6|44983|pp|0.0866|2.6887|5.4|3.533|1.617|Sep 20, 1940 BC|-1999|-1900|-1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1939-09-20T.gif
145|-1938|3|16|1|37|58|8|166|P|0.3815|-48705|11|44971|t-|-0.7937|1.4221|5.15|2.317||Mar 16, 1939 BC|-1999|-1900|-1950|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1938-03-16P.gif
146|-1938|9|9|4|49|58|-11|-65|P|0.3362|-48699|16|44960|h-|0.8221|1.363|4.9|2.133||Sep 9, 1939 BC|-1999|-1900|-1950|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1938-09-09P.gif
147|-1937|2|4|1|16|41|22|173|N|-0.2473|-48694|-17|44950|-a|1.1544|0.7263|3.617|||Feb 4, 1938 BC|-1999|-1900|-1950| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1937-02-04N.gif
148|-1937|3|5|10|56|43|11|27|N|-0.8505|-48693|21|44948|a-|-1.4792|0.1377|1.7|||Mar 5, 1938 BC|-1999|-1900|-1950| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1937-03-05N.gif
149|-1937|7|31|5|37|10|-24|103|N|-0.6187|-48688|-12|44938|-t|-1.328|0.4616|3.383|||Jul 31, 1938 BC|-1999|-1900|-1950| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1937-07-31N.gif
150|-1936|1|24|5|18|3|23|-68|T|1.0477|-48682|-7|44927|-a|0.4521|2.0089|5.067|3.15|0.533|Jan 24, 1937 BC|-1999|-1900|-1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1936-01-24T.gif
151|-1936|7|19|5|56|25|-24|97|P|0.7418|-48676|-2|44915|-t|-0.5907|1.807|5.7|3.117||Jul 19, 1937 BC|-1999|-1900|-1950|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1936-07-19P.gif
152|-1935|1|13|8|25|6|23|64|T-|1.4153|-48670|3|44904|p-|-0.243|2.409|5.45|3.483|1.417|Jan 13, 1936 BC|-1999|-1900|-1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1935-01-13T.gif
153|-1935|7|8|11|29|27|-24|13|T+|1.5135|-48664|8|44892|p-|0.1844|2.5257|5.717|3.667|1.567|Jul 8, 1936 BC|-1999|-1900|-1950| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1935-07-08T.gif
154|-1934|1|2|6|10|11|23|-84|P|0.0128|-48658|13|44880|h-|-0.9913|1.0656|4.6|0.433||Jan 2, 1935 BC|-1999|-1900|-1950|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1934-01-02P.gif
155|-1934|6|28|12|16|33|-22|-179|P|0.1964|-48652|18|44869|a-|0.9163|1.1565|4.35|1.583||Jun 28, 1935 BC|-1999|-1900|-1950|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1934-06-28P.gif
156|-1934|11|23|1|12|12|18|167|N|-0.6308|-48647|-15|44859|-t|1.3273|0.4765|3.467|||Nov 23, 1935 BC|-1999|-1900|-1950| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1934-11-23N.gif
